x,series,value
0.324,f(x)-g(x),-0.600374
0.326,f(x),0.278494
0.326,g(x),0.878896
0.326,f(x)-g(x),-0.600402
0.328,f(x),0.281269
0.328,g(x),0.881664
0.328,f(x)-g(x),-0.600395
0.33,f(x),0.284045
0.33,g(x),0.8844
0.33,f(x)-g(x),-0.600355
0.332,f(x),0.286823
0.332,g(x),0.887104
0.332,f(x)-g(x),-0.600281
0.334,f(x),0.289602
0.334,g(x),0.889776
0.334,f(x)-g(x),-0.600174
0.336,f(x),0.292382
0.336,g(x),0.892416
0.336,f(x)-g(x),-0.600034
0.338,f(x),0.295163
0.338,g(x),0.895024
0.338,f(x)-g(x),-0.599861
0.34,f(x),0.297944
0.34,g(x),0.8976
0.34,f(x)-g(x),-0.599656
0.342,f(x),0.300726
0.342,g(x),0.900144
0.342,f(x)-g(x),-0.599418
0.344,f(x),0.303508
0.344,g(x),0.902656
0.344,f(x)-g(x),-0.599148
0.346,f(x),0.30629
0.346,g(x),0.905136
0.346,f(x)-g(x),-0.598846
0.348,f(x),0.309071
0.348,g(x),0.907584
0.348,f(x)-g(x),-0.598513
0.35,f(x),0.311852
0.35,g(x),0.91
0.35,f(x)-g(x),-0.598148
0.352,f(x),0.314632
0.352,g(x),0.912384
0.352,f(x)-g(x),-0.597752
0.354,f(x),0.317411
0.354,g(x),0.914736
0.354,f(x)-g(x),-0.597325
0.356,f(x),0.320188
0.356,g(x),0.917056
0.356,f(x)-g(x),-0.596868
0.358,f(x),0.322964
0.358,g(x),0.919344
0.358,f(x)-g(x),-0.59638
0.36,f(x),0.325738
0.36,g(x),0.9216
0.36,f(x)-g(x),-0.595862
0.362,f(x),0.328509
0.362,g(x),0.923824
0.362,f(x)-g(x),-0.595315
0.364,f(x),0.331279
0.364,g(x),0.926016
0.364,f(x)-g(x),-0.594737
0.366,f(x),0.334045
0.366,g(x),0.928176
0.366,f(x)-g(x),-0.594131
0.368,f(x),0.336809
0.368,g(x),0.930304
0.368,f(x)-g(x),-0.593495
0.37,f(x),0.339569
0.37,g(x),0.9324
0.37,f(x)-g(x),-0.592831
0.372,f(x),0.342326
0.372,g(x),0.934464
0.372,f(x)-g(x),-0.592138
0.374,f(x),0.34508
0.374,g(x),0.936496
0.374,f(x)-g(x),-0.591416
0.376,f(x),0.347829
0.376,g(x),0.938496
0.376,f(x)-g(x),-0.590667
0.378,f(x),0.350574
0.378,g(x),0.940464
0.378,f(x)-g(x),-0.58989
0.38,f(x),0.353315
0.38,g(x),0.9424
0.38,f(x)-g(x),-0.589085
0.382,f(x),0.356051
0.382,g(x),0.944304
0.382,f(x)-g(x),-0.588253
0.384,f(x),0.358782
0.384,g(x),0.946176
0.384,f(x)-g(x),-0.587394
0.386,f(x),0.361508
0.386,g(x),0.948016
0.386,f(x)-g(x),-0.586508
0.388,f(x),0.364229
0.388,g(x),0.949824
0.388,f(x)-g(x),-0.585595
0.39,f(x),0.366943
0.39,g(x),0.9516
0.39,f(x)-g(x),-0.584657
0.392,f(x),0.369652
0.392,g(x),0.953344
0.392,f(x)-g(x),-0.583692
0.394,f(x),0.372355
0.394,g(x),0.955056
0.394,f(x)-g(x),-0.582701
0.396,f(x),0.375051
0.396,g(x),0.956736
0.396,f(x)-g(x),-0.581685
0.398,f(x),0.37774
0.398,g(x),0.958384
0.398,f(x)-g(x),-0.580644
0.4,f(x),0.380423
0.4,g(x),0.96
0.4,f(x)-g(x),-0.579577
0.402,f(x),0.383098
0.402,g(x),0.961584
0.402,f(x)-g(x),-0.578486
0.404,f(x),0.385765
0.404,g(x),0.963136
0.404,f(x)-g(x),-0.577371
0.406,f(x),0.388425
0.406,g(x),0.964656
0.406,f(x)-g(x),-0.576231
0.408,f(x),0.391077
0.408,g(x),0.966144
0.408,f(x)-g(x),-0.575067
0.41,f(x),0.39372
0.41,g(x),0.9676
0.41,f(x)-g(x),-0.57388
0.412,f(x),0.396355
0.412,g(x),0.969024
0.412,f(x)-g(x),-0.572669
0.414,f(x),0.398982
0.414,g(x),0.970416
0.414,f(x)-g(x),-0.571434
0.416,f(x),0.401599
0.416,g(x),0.971776
0.416,f(x)-g(x),-0.570177
0.418,f(x),0.404207
0.418,g(x),0.973104
0.418,f(x)-g(x),-0.568897
0.42,f(x),0.406805
0.42,g(x),0.9744
0.42,f(x)-g(x),-0.567595
0.422,f(x),0.409393
0.422,g(x),0.975664
0.422,f(x)-g(x),-0.566271
0.424,f(x),0.411972
0.424,g(x),0.976896
0.424,f(x)-g(x),-0.564924
0.426,f(x),0.41454
0.426,g(x),0.978096
0.426,f(x)-g(x),-0.563556
0.428,f(x),0.417098
0.428,g(x),0.979264
0.428,f(x)-g(x),-0.562166
0.43,f(x),0.419644
0.43,g(x),0.9804
0.43,f(x)-g(x),-0.560756
0.432,f(x),0.42218
0.432,g(x),0.981504
0.432,f(x)-g(x),-0.559324
0.434,f(x),0.424704
0.434,g(x),0.982576
0.434,f(x)-g(x),-0.557872
0.436,f(x),0.427217
0.436,g(x),0.983616
0.436,f(x)-g(x),-0.556399
0.438,f(x),0.429718
0.438,g(x),0.984624
0.438,f(x)-g(x),-0.554906
0.44,f(x),0.432206
0.44,g(x),0.9856
0.44,f(x)-g(x),-0.553394
0.442,f(x),0.434683
0.442,g(x),0.986544
0.442,f(x)-g(x),-0.551861
0.444,f(x),0.437147
0.444,g(x),0.987456
0.444,f(x)-g(x),-0.550309
0.446,f(x),0.439597
0.446,g(x),0.988336
0.446,f(x)-g(x),-0.548739
0.448,f(x),0.442035
0.448,g(x),0.989184
0.448,f(x)-g(x),-0.547149
0.45,f(x),0.44446
0.45,g(x),0.99
0.45,f(x)-g(x),-0.54554
0.452,f(x),0.446871
0.452,g(x),0.990784
0.452,f(x)-g(x),-0.543913
0.454,f(x),0.449268
0.454,g(x),0.991536
0.454,f(x)-g(x),-0.542268
0.456,f(x),0.45165
0.456,g(x),0.992256
0.456,f(x)-g(x),-0.540606
0.458,f(x),0.454019
0.458,g(x),0.992944
0.458,f(x)-g(x),-0.538925
0.46,f(x),0.456373
0.46,g(x),0.9936
0.46,f(x)-g(x),-0.537227
0.462,f(x),0.458712
0.462,g(x),0.994224
0.462,f(x)-g(x),-0.535512
0.464,f(x),0.461036
0.464,g(x),0.994816
0.464,f(x)-g(x),-0.53378
0.466,f(x),0.463344
0.466,g(x),0.995376
0.466,f(x)-g(x),-0.532032
0.468,f(x),0.465637
0.468,g(x),0.995904
0.468,f(x)-g(x),-0.530267
